jobid,title,primaryresponsibility,primaryperks,primaryrequirement,datecreated,dateupdated,dateactivated,activestatus,expirydate,company,minexp,maxexp,mincompensation,maxcompensation,numberofdays,additionalcompensation,professions,cities
10,Sr. Communications Designer,"<p>Our Mumbai and Kolkata offices are looking for senior designers with a love for communication and publication design.</p>
<ul id=""job-resp"">
<li>Comprehend, simplify and translate complex content into visuals</li>
<li>Refine and detail typographic sensibility. Illustration skills are a plus</li>
<li>Exceptional conceptual and strategic thinking</li>
<li>Understand the basics of communication design across different platforms</li>
<li>Basic knowledge of web and films will have an added advantage</li>
<li>Basic knowledge of digital be an added advantage</li>
</ul>",,"<p>A proven track record of exceptional creativity, experience of working on diverse industries and projects, proficiency in design software and an ability to work seamlessly as part of a team are attributes that we value.</p>
<ul id=""job-req"">
<li>Be creative, ambitious and highly motivated</li>
<li>Belong to a prestigious design school</li>
<li>Confer with project managers and clients to understand the design requirement for projects</li>
<li>Is very passionate about typography</li>
<li>Have excellent communication skills&mdash;verbal and written</li>
<li>Be proficient with design software like Adobe InDesign, Photoshop and Illustrator</li>
<li>Have a willingness to learn and adapt to newer trends and software</li>
<li>Have production knowledge (artworks and printing)</li>
<li>Client fronting and management skills for the Sr. Role</li>
</ul>",1/15/2017 18:00,1/5/2018 9:50,NULL,1,1/4/2018 9:50,AICL Communications,12,84,NULL,NULL,-1,NULL,Art Direction$$$Editorial Design$$$Graphic Design$$$Print Design,Mumbai$$$Kolkata
11,Sr. Communications Designer,"<p>Our Mumbai and Kolkata offices are looking for senior designers with a love for communication and publication design.</p><ul><li>Comprehend, simplify and translate complex content into visuals</li><li>Refine and detail typographic sensibility. Illustration skills are a plus</li><li>Exceptional conceptual and strategic thinking</li><li>Understand the basics of communication design across different platforms</li><li>Basic knowledge of web and films will have an added advantage</li><li>Basic knowledge of digital be an added advantage</li></ul>",NULL,"<p>A proven track record of exceptional creativity, experience of working on diverse industries and projects, proficiency in design software and an ability to work seamlessly as part of a team are attributes that we value.</p><ul><li>Be creative, ambitious and highly motivated</li><li>Belong to a prestigious design school</li><li>Confer with project managers and clients to understand the design requirement for projects</li><li>Is very passionate about typography</li><li>Have excellent communication skills—verbal and written</li><li>Be proficient with design software like Adobe InDesign, Photoshop and Illustrator</li><li>Have a willingness to learn and adapt to newer trends and software</li><li>Have production knowledge (artworks and printing)</li><li>Client fronting and management skills for the Sr. Role</li></ul>",1/15/2017 18:00,9/13/2017 13:52,NULL,1,9/12/2017 17:12,AICL Communications,48,84,600000,1500000,NULL,NULL,Art Direction$$$Editorial Design$$$Graphic Design$$$Print Design,Mumbai
12,Communications Designer,"<p>Our Mumbai and Kolkata offices are looking for senior designers with a love for communication and publication design.</p><ul><li>Comprehend, simplify and translate complex content into visuals</li><li>Refine and detail typographic sensibility. Illustration skills are a plus</li><li>Exceptional conceptual and strategic thinking</li><li>Understand the basics of communication design across different platforms</li><li>Basic knowledge of web and films will have an added advantage</li><li>Basic knowledge of digital be an added advantage</li></ul>",NULL,"<p>A proven track record of exceptional creativity, experience of working on diverse industries and projects, proficiency in design software and an ability to work seamlessly as part of a team are attributes that we value.</p><ul><li>Be creative, ambitious and highly motivated</li><li>Belong to a prestigious design school</li><li>Confer with project managers and clients to understand the design requirement for projects</li><li>Is very passionate about typography</li><li>Have excellent communication skills—verbal and written</li><li>Be proficient with design software like Adobe InDesign, Photoshop and Illustrator</li><li>Have a willingness to learn and adapt to newer trends and software</li><li>Have production knowledge (artworks and printing)</li><li>Client fronting and management skills for the Sr. Role</li></ul>",1/15/2017 18:00,9/13/2017 13:47,NULL,1,9/12/2017 17:12,AICL Communications,12,36,600000,1500000,NULL,NULL,Art Direction$$$Editorial Design$$$Graphic Design$$$Print Design,Kolkata
13,Sr. Communications Designer,"<p>Our Mumbai and Kolkata offices are looking for senior designers with a love for communication and publication design.</p><ul><li>Comprehend, simplify and translate complex content into visuals</li><li>Refine and detail typographic sensibility. Illustration skills are a plus</li><li>Exceptional conceptual and strategic thinking</li><li>Understand the basics of communication design across different platforms</li><li>Basic knowledge of web and films will have an added advantage</li><li>Basic knowledge of digital be an added advantage</li></ul>",NULL,"<p>A proven track record of exceptional creativity, experience of working on diverse industries and projects, proficiency in design software and an ability to work seamlessly as part of a team are attributes that we value.</p><ul><li>Be creative, ambitious and highly motivated</li><li>Belong to a prestigious design school</li><li>Confer with project managers and clients to understand the design requirement for projects</li><li>Is very passionate about typography</li><li>Have excellent communication skills—verbal and written</li><li>Be proficient with design software like Adobe InDesign, Photoshop and Illustrator</li><li>Have a willingness to learn and adapt to newer trends and software</li><li>Have production knowledge (artworks and printing)</li><li>Client fronting and management skills for the Sr. Role</li></ul>",1/15/2017 18:00,9/13/2017 13:53,NULL,1,9/12/2017 17:12,AICL Communications,48,84,600000,1500000,NULL,NULL,Art Direction$$$Editorial Design$$$Graphic Design$$$Print Design,Kolkata
14,Sr. Graphic Designer,"As a Sr. Graphic Designer, this role requires the person to push the boundaries of imagination for all our clients. You will be mentoring a team of graphic designers across multiple projects. You will be responsible for delivering clutter-breaking digital campaigns. Working closely with the creative head, you will bring our creative communication and marketing campaigns alive and reporting to the SVP – Content and Creative.",NULL,"<ul><li>At least 3+ years of experience with communication design</li><li>Formal design schooling at a reputed institute</li><li>Understanding of various art forms is very critical. You should possess great illustration and graphic designing skills</li><li>Be pro-active and able to show initiative/ideas to constantly engage with target users</li><li>Must have experience working with Social Media, Google Ads, Emailers and Print Designs</li><li>Must have in-depth experience in creating designs that appeals to a digitally native audience across social platforms, Google, websites, email communication and other digital mediums</li></ul>",1/15/2017 18:00,10/6/2017 7:17,NULL,1,10/5/2017 17:12,Integrated 360365,48,72,600000,900000,NULL,NULL,Branding$$$Graphic Design$$$Illustration$$$Typography,Mumbai
15,3D Visualizer,"We like to see before we believe. You will help us look into the future, see our interior spaces come alive in 3D before we create the space for real.
You will be a damn good 3D artist who will help bring our imagination into visual media. You will create looks for our website and you will also help in modeling furniture that we develop before we start our prototyping process.
Staying organized and creating a library of models and other props will be vital to help scale our 3D design team, and you will be the gate keeper.",NULL,<ul><li>Minimum 2 years of experience in the 3D Visualization</li><li>Keen eye for good quality visual imagery</li><li>Ability to create high quality output in 3DS Max with Vray</li><li>Understanding of interior lighting in Vray</li><li></li></ul>,1/15/2017 18:00,10/6/2017 7:17,NULL,1,10/5/2017 17:12,The Design Room,36,72,500000,600000,NULL,NULL,Interior Design$$$3D Visualization,Bengaluru
16,Interior Designer,"The Design Room is looking for interior designers with a passion to create unique experiences for clients in their residential spaces. As an interior designer at The Design Room, designers need to understand the client brief, create designs based on customer preferences and site conditions and prepare dockets to handover to our execution teams.
Designers will be working with the design lead to deliver the highest quality design output, the project managers to execute projects seamlessly on site and the partners and suppliers to source the best products for the given space.
We are looking for go-getters who can handle a design project from start to finish and deliver the same to our clients with utmost customer satisfaction.",NULL,"<ul><li>Minimum 2 years of experience in residential interior design</li><li>Strong understanding and demonstrated aptitude of design principles</li><li>No-compromise attitude towards quality</li><li>Highly proficiency in AutoCAD, Photoshop, Sketchup</li><li>Strong communication skills</li></ul>",1/15/2017 18:00,10/6/2017 7:17,NULL,1,10/5/2017 17:12,The Design Room,24,60,500000,1000000,NULL,NULL,Interior Design$$$3D Visualization,Bengaluru
17,Sr. iOS Developer,NULL,NULL,"<p>Business Knowledge: Domain experience would be a plus
Personal Attributes: Strong and innovative approach to problem solving and finding solutions b. Excellent communicator (written and verbal, formal and informal) c. Flexible and proactive/self-motivated working style with strong personal ownership of problem resolution d. Ability to multi-task under pressure and work independently with minimal supervision</p><ul><li>Have worked at least 2 live project using Swift</li><li>App lifecycle & delegates, UI View Controller lifecycle. App foreground & background handling</li><li>Thorough understanding & hands on experience on most commonly used design concepts such as MVC, Singleton, Dependency Injection, KVO, Notification, Adaptor</li><li>From the UI standpoint should be well aware of the Autolayout, size classes, Constraints, UIKit most commonly used UI components & customization such as UI TableViewCell, UI Collection View</li><li>Custom Animations is good to have</li><li>Well versed with using language concepts such as closures, optional chaining, extensions, protocols</li><li>Xcode basic build setting such as linker flags, info plist & managing different schemes</li><li>Swift coding best practices & guidelines</li><li>Exception handling</li><li>Understanding of network request & response handling using foundation classes such as NSURLSession, differences between different types of http methods GET, POST. JSON parsing & URL caching</li><li>App profiling which includes identifying memory leaks, best practices of memory management</li><li>Data Storage different approaches & the difference such as persistence, keychain, object serialization</li><li>Using coredata & cache management for local data management is good to have</li><li>Browse candidate on Logical reasoning & approach by giving a real time situation</li><li>Unit Test cases are good to have</li></ul>",1/15/2017 18:00,10/6/2017 7:17,NULL,1,10/5/2017 17:12,SapientNitro,60,120,-1,-1,NULL,NULL,iOS Development$$$UI Development,Bengaluru
18,Creative Manager,"The Senior Creative Manager/Senior Product Manager will be responsible for managing, developing and driving BYJU’S Media Team activity, particularly in the area of project and people management. The key responsibilities include managing daily operative on the media floor, determining and monitoring production schedule, delegating and directing production teams, overseeing preproduction, production, and post-production of projects, propagating product research and product innovation and developing creative briefs and design concepts to meet business objectives. Additional responsibilities include and are not limited to mentoring, reviewing and appraising teams and team leads and creating a vision for the product.",NULL,"<ul><li>Bachelor’s or Master’s degree (Engineering/design/animation/film-making or related)</li><li>At least 6 years of experience and at least 2 years in a team leading role</li><li>Should be familiar with a variety of the field's concepts, practices, and procedures</li><li>Should rely on extensive experience and judgment to plan and accomplish goals</li><li>Should be able to perform a variety of tasks along with leading and directing the work of others</li><li>A wide degree of creativity and latitude is expected</li></ul>",1/15/2017 18:00,10/6/2017 7:17,NULL,1,10/5/2017 17:12,BYJU'S App,96,144,-1,-1,-1,NULL,Animation$$$Motion Graphics$$$Visual Effects (VFX)$$$Video Editing,Bengaluru
19,Sr. Creative Associate,"<p>The Creative Associate is a part of the Media Team at Byjus. The Media team works with multiple categories and course teams to visualize, produce, and edit content to make it much more meaningful, explanatory and visually appealing.</p>
<p>We are looking to hire an exceptionally passionate and fun-loving bunch of <strong>creative directors, creative managers, Motion graphic designer, editors, VFX artists, Digital artists, 2D and 3D animators, Compositor, Lighting and Texturing Artist, Linear Editor, Character Designer, Typography Artist, Post Production Specialist, Storyboarding Artist,</strong> or a combination of many of these skills. You should be able to grasp basic sciences quickly and competence to translate it into visually appealing formats. Naturally, a flair for storytelling and constant exercise of those creative grey cells on a regular basis is a necessary prerequisite. Work experience in the media industry and proficiency in Adobe Creative Suite is expected.</p>
<p>You will be responsible for executing assigned media projects in association with a team and under the supervision of a senior creative manager/ senior product manager. The key responsibilities include managing daily team operative, determining and monitoring project schedule, delegating and directing the team activities, overseeing pre-production, production, and post-production of the assigned project, propagating product research and product innovation and developing creative briefs and design concepts to meet business objectives. Additional responsibilities include and are not restricted to mentoring team members and creating a vision for the product.</p>
<p>The Senior Associate is expected to bring a higher level of expertise and experience on board. Along with Task Execution, there will be need for handling individual projects, cross-team coordination, asset building. From a more mature standpoint, the Senior Associate is expected to indulge in pipeline process monitoring and mentoring.</p>
<p>&nbsp;</p>
<p><strong>Roles that we offer</strong></p>
<p><strong>Editor</strong><br />As an editor, you are responsible for our &lsquo;wow&rsquo; videos reaching the students across the globe. You will be a crucial aspect of many products that involve videos. The artist must be acquainted with simple solutions to keying and color correction.</p>
<p><strong>Skill:</strong> A Beginner to Expert level skill with Adobe Suite and allied tools for (Non-Linear) Video Editing, Filmmaking &amp; Media, Color Correction, Basics of Compositing, Frame Design, Creative Thinking (Adobe Premiere Pro (including Keying and Lumetri), Sound Forge, Vegas, Final Cut Pro)</p>
<p>&nbsp;</p>
<p><strong>2D Animator</strong><br />2d animators are expected to be specialists and/or experts in classical animation, character animation, motion graphics, dynamic typography and others such. This requires a strong grasp of tools and fluent use of tools. Well acquainted with the Principles of Design, the animator is who brings life to the different things on screen.</p>
<p><strong>Skill:</strong> Prior experience in or interest in classical animation, digital animation, typography and kinetic typography, use of effects and transitions, layout design, frame composition, communication design, Object-Oriented Programming. Candidate must be able to translate multimedia tool-based visual enhancements to concepts in Math, Science and Language. Plugins such as Duik and Pivot, Adobe Suite (Both AfterEffects and Flash) and Hand-Drawing. Working knowledge of 3rd party plugins in After Effects or the skill to learn them quick is necessary - Red Giant Trapcode Suite, Element 3D, Plexus, Motion V2, Newton (Adobe After Effects (including Duik, Forward-Inverse Kinematics, Puppet Pins 3rdparty plugins &ndash; Red Giant Trapcode Suite, VideoCopilot Suite including Element 3d and others, Plexus, Newton and other Physics Simulators, Motion V2, etc.), Character Animator, Flash and Photoshop Timeline Animation, etc.</p>
<p>&nbsp;</p>
<p><strong>VFX Artist</strong><br />Visual effects artists are responsible for creating computer-generated frames and special effects. Common effects like grunge, smoke, fire, rain, smog, particles, etc. must be an easy fix for a VFX Artist. 2- and 3-d motion and camera tracking is a useful skill. The artist must be acquainted with simple solutions to keying and color correction.</p>
<p><strong>Skill:</strong> Prior experience in or interest in tools for compositing, animation, Rotoscopy, motion tracking, camera tracking, matte, rendering, motion graphics, building simulations through application of computation and math in animating and allied fields. Candidate must be able to translate multimedia tool-based visual enhancements to concepts in Math, Science and Language. Creative skill would include being able to augment real footage with appropriate highlights and tracking and other effects (Mocha, Red Giant Trapcode Suite, Plexus, Color Correction and Grading Tools)</p>
<p>&nbsp;</p>
<p><strong>3D Artist</strong><br />An enthusiast or an expert in making and simulating exciting 3-d Graphics.</p>
<p><strong>Skill:</strong> Prior experience in or interest in tools for (some or all of) modelling, texturing, lighting, rigging, unwrapping, painting, creating environments, building objects and relationships and building simulations through application of computation and math in 3-d animating and allied fields. Candidate must be able to work-cross platform and integrate 3-d with different rendering and animation tools (Maya, C4D, 3DS Max, Unity)</p>
<p>&nbsp;</p>
<p><strong>Artist</strong><br />If your chosen mode of expression has anything to do with design, painting, creative visualization, cartooning, conceptualizing, then your crazy skills will come in handy to be a part of a super-talented young artists. You will be making print and graphic art that is used across the company from the flyers to the videos to the app to the global outreach programs.</p>
<p><strong>Skill:</strong> Strength with the Adobe Suite, and allied digital design tools is a must. Flexibility with Art Styles and the ability to gather requirements from different animators and in-house-clients is a necessary skill (Adobe Photoshop, Illustrator, Flash, In-Design. CorelDraw, Google Sketch, SketchBook Pro, etc.)</p>
<p>&nbsp;</p>
<p><strong>SFX Artist</strong><br />We are looking for Sound Engineers, SFX Artist and Sound Designers &ndash; a bunch of creators who have an aptitude for science and art; scientific thinking and design thinking. A workplace thriving on young energy, on mentorship, craziness, drive and commitment to making a difference, this is what we could open for you.</p>
<p><strong>Skill:</strong> Should have experience in composing musical score suitable for K12, jingles and rhymes for kids in different genres, Game sounds/SFX/Sound Design. Should have experience in recording voice over, field recording and recording musical instruments. Know music theory and play at least one instrument. Be familiar and experienced in composing music in any genres. Complete knowledge of Logic including SMPTE/video sync, freezing, organizing, and STEMS. It is an add-on if you have worked on short films. (Knowledge about different file formats and work flow)</p>","<p><strong>Growth Opportunity</strong><br />Organic growth within the organization is assured at much-better-than-industry-standards considering the nature of projects we undertake and the rate of global expansion. Growth, as is validated by the work done by the employee, can be in Leadership, Management, Specialist, Expert Roles. The Industry - Tech. and Media for Education, is very nascent and is bound to scale up.</p>","<ul>
<li>Bachelor's degree (Design/ Animation/ Film-making/ Media management/ Engineering)</li>
<li>Should be familiar with a variety of the field's concepts, practices, and procedures</li>
<li>Rely on extensive experience and judgment to plan and accomplish goals</li>
<li>Proficient in two or more of the following editing software is compulsory: Adobe Photoshop, Adobe Illustrator, Adobe Premier Pro, Adobe After Effects)</li>
<li>Should be able to perform a variety of tasks along with leading and directing the work of others</li>
<li>A wide degree of creativity and latitude is expected.</li>
</ul>",1/15/2017 18:00,12/26/2017 13:52,NULL,1,NULL,BYJU'S App,0,96,NULL,1500000,6,NULL,Animation$$$Motion Graphics$$$Video Editing$$$Visual Effects (VFX),Bengaluru
